Respondent_type,pid,research_type_qualitative,research_type_quant_experimental,research_type_quant_observational,research_type_quant_other,research_type_theoretical,year_complete_phd,Research type,Career stage,publicly_posting_what_percentage_subfield,publicly_posting_distribution_of_opinion_subfield_1,publicly_posting_distribution_of_opinion_subfield_2,publicly_posting_distribution_of_opinion_subfield_3,publicly_posting_distribution_of_opinion_subfield_4,publicly_posting_distribution_of_opinion_subfield_5,analysis_pre_registration_what_percentage_subfield,analysis_pre_registration_distribution_of_opinion_subfield_1,analysis_pre_registration_distribution_of_opinion_subfield_2,analysis_pre_registration_distribution_of_opinion_subfield_3,analysis_pre_registration_distribution_of_opinion_subfield_4,analysis_pre_registration_distribution_of_opinion_subfield_5,econ_subfield,psych_subfield,polisci_subfield,socio_subfield,analysis_pre_registration_descriptive_subfield_norm,analysis_pre_registration_prescriptive_subfield_norm,publicly_posting_descriptive_subfield_norm,publicly_posting_prescriptive_subfield_norm,descriptive_subfield_norm_across_practices,prescriptive_subfield_norm_across_practices,subfield_norms,subfield,Discipline,publicly_posting_approximately_when_was,posting_study_instruments_approximately_when_was,analysis_pre_registration_approximately_when_was,publicly_posting_approximately_how_many,posting_study_instruments_approximately_how_many,analysis_pre_registration_approximately_how_many,publicly_posting_think_about_last,posting_study_instruments_think_about_last,analysis_pre_registration_think_about_last,publicly_posting_have_you_ever,posting_study_instruments_have_you_ever,analysis_pre_registration_have_you_ever,has_done_posting_study_instruments,has_done_publicly_posting,has_done_analysis_pre_registration,has_done_any_practice_ever,has_done_posting_study_instruments_last_paper,has_done_publicly_posting_last_paper,has_done_analysis_pre_registration_last_paper,has_done_any_practice_ever_last_paper,publicly_posting_distribution_of_opinion_discipline_1,publicly_posting_distribution_of_opinion_discipline_2,publicly_posting_distribution_of_opinion_discipline_3,publicly_posting_distribution_of_opinion_discipline_4,publicly_posting_distribution_of_opinion_discipline_5,analysis_pre_registration_distribution_of_opinion_discipline_1,analysis_pre_registration_distribution_of_opinion_discipline_2,analysis_pre_registration_distribution_of_opinion_discipline_3,analysis_pre_registration_distribution_of_opinion_discipline_4,analysis_pre_registration_distribution_of_opinion_discipline_5,publicly_posting_what_is_your_opinion,publicly_posting_what_percentage_discipline,analysis_pre_registration_what_is_your_opinion,analysis_pre_registration_what_percentage_discipline,posting_study_instruments_what_is_your_opinion,personal_support_open_science,awareness_across_practices,attitude_across_practices,behavior_across_practices,trustworthiness_when_researchers_run_canonical,trustworthiness_how_confident_are,trustworthiness_when_researchers_run_recent,trustworthiness_think_about_table,norms,overall_open_science,trustworthiness_of_literature,descriptive_norm_across_practices,prescriptive_norm_across_practices,publicly_posting_practice_index,posting_study_instruments_practice_index,analysis_pre_registration_practice_index,manipulation_check_nudge,post_treatment_behavioral_intentions_and_attitudes,post_treatment_pre_registration_norms,post_treatment_research_transparency_behavioral_intentions_and_attitudes,post_treatment_research_transparency_norms,publicly_posting_attitude,publicly_posting_awareness,publicly_posting_behavior,publicly_posting_descriptive_norm,publicly_posting_prescriptive_norm,posting_study_instruments_attitude,posting_study_instruments_awareness,posting_study_instruments_behavior,analysis_pre_registration_attitude,analysis_pre_registration_awareness,analysis_pre_registration_behavior,analysis_pre_registration_descriptive_norm,analysis_pre_registration_prescriptive_norm,.dummy,"Overall personal
support",Awareness,Attitude,Behavior,"Personal support
(no norms)",Norms,"Overall
(includes norms)","Trustworthiness of
literature",Canonical research,Influential research,Recent research,"Latest issue of
 discipline's top journals"
grad-25,29383,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Experimental,PhD Student,15,20,20,20,20,20,18,20,20,20,20,20,Developmental Psychology,Developmental Psychology,Developmental Psychology,Developmental Psychology,0.175,0.5,0.175,0.5,0.175,0.5,0.3375,Developmental Psychology,Psychology,NA,NA,NA,0,0,0,NA,NA,NA,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,20,20,20,20,20,20,20,20,20,3,20,3,17,3,0.7,1,0.6,0.5,3,3,3,3,0.3375,0.46703703703703703,0.5,0.175,0.5,0.4611111111111111,0.55,0.39,0.5,0.5266666666666666,0.5,0.592,0.5,0.6,1,0.5,0.175,0.5,0.6,1,0.5,0.6,1,0.5,0.175,0.5,1,0.7,1,0.6,0.5,0.7,0.3375,0.46703703703703703,0.5,3,3,3,3
grad-25,15691,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Experimental,PhD Student,20,5,20,40,25,10,20,15,40,30,10,5,Health / Medicine,Health / Medicine,Health / Medicine,Health / Medicine,0.1,0.375,0.15000000000000002,0.5375,0.125,0.45625,0.290625,Health / Medicine,Sociology,2019,2019,NA,1,1,0,1,1,NA,1,1,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,15,30,40,10,5,10,50,25,10,5,3,10,2,0,4,0.6814814814814815,1,0.6,0.4444444444444444,3,2,4,4,0.2734375,0.46716820987654323,0.5625,0.125,0.421875,0.4525462962962963,0.7333333333333334,0.215625,0.75,0.08333333333333333,0.5,0.29,0.75,0.6,1,0.6666666666666666,0.15000000000000002,0.46875,0.8,1,0.6666666666666666,0.4,0,0,0.1,0.375,1,0.6814814814814815,1,0.6,0.4444444444444444,0.6814814814814815,0.2734375,0.46716820987654323,0.5625,3,2,4,4
grad-25,5742,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Experimental,PhD Student,30,0,15,50,30,5,10,5,20,45,25,5,Labor Economics,Labor Economics,Labor Economics,Labor Economics,0.1,0.5125,0.32499999999999996,0.5625,0.21249999999999997,0.5375,0.375,Labor Economics,Economics,2014,2014,2014,0,0,0,NA,NA,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,15,50,25,10,5,25,45,20,5,4,35,3,10,5,0.5888888888888889,1,0.7666666666666667,0,5,4,2,3,0.3734375,0.41689814814814813,0.625,0.21249999999999997,0.534375,0.5006944444444444,0.45,0.3,0.625,0.31666666666666665,0.5,0.61,0.75,0.8,1,0,0.32499999999999996,0.56875,0.9,1,0,0.6,1,0,0.1,0.5,1,0.5888888888888889,1,0.7666666666666667,0,0.5888888888888889,0.3734375,0.41689814814814813,0.625,5,4,2,3
grad-25,37704,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Quantitative non-experimental,PhD Student,19,5,20,40,25,10,0,20,50,20,10,0,Political,Political,Political,Political,0,0.30000000000000004,0.135,0.5375,0.0675,0.41875,0.243125,Political,Sociology,2018,NA,NA,2,0,0,1,NA,NA,1,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,7,20,50,20,3,10,50,30,10,0,5,8,4,0,4,0.8444444444444444,1,0.8666666666666667,0.6666666666666666,2,2,2,1,0.2421875,0.4920601851851852,0.1875,0.0675,0.416875,0.5418055555555555,0.65,0.284375,0.5,0.5166666666666666,0.75,0.6799999999999999,0.625,1,1,1,0.135,0.50875,0.8,1,0.5,0.8,1,0.5,0,0.325,1,0.8444444444444444,1,0.8666666666666667,0.6666666666666666,0.8444444444444444,0.2421875,0.4920601851851852,0.1875,2,2,2,1
grad-25,37620,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Qualitative or Theoretical,PhD Student,50,0,0,20,40,40,0,10,20,50,10,10,Theory,Theory,Theory,Theory,0.15,0.475,0.5549999999999999,0.8,0.3525,0.6375,0.495,Theory,Economics,NA,NA,NA,0,0,0,NA,NA,NA,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,10,20,40,30,10,20,50,10,10,5,61,3,30,4,0.6444444444444445,1,0.7666666666666667,0.16666666666666666,4,4,3,4,0.485625,0.4800231481481481,0.6875,0.3525,0.6187499999999999,0.7119444444444444,0.4,0.328125,0.5,0.35,0.75,0.572,0.625,0.9,1,0.5,0.5549999999999999,0.7625,0.8,1,0,0.6,0,0,0.15,0.475,1,0.6444444444444445,1,0.7666666666666667,0.16666666666666666,0.6444444444444445,0.485625,0.4800231481481481,0.6875,4,4,3,4
grad-25,25823,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Experimental,PhD Student,50,10,10,10,20,50,10,10,20,40,20,10,Neuroscience,Neuroscience,Neuroscience,Neuroscience,0.15000000000000002,0.5,0.375,0.725,0.2625,0.6125,0.4375,Neuroscience,Psychology,2018,2018,NA,1,2,0,0,1,NA,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,30,15,7,18,30,20,20,10,30,20,5,25,4,20,5,0.8296296296296296,1,0.9333333333333333,0.5555555555555556,2,3,3,3,0.4134375,0.6558371913580247,0.4375,0.2625,0.564375,0.612824074074074,1,0.3546875,0.375,0.4,0.75,0.78,0.875,1,1,0.6666666666666666,0.375,0.61625,1,1,1,0.8,1,0,0.15000000000000002,0.5125,1,0.8296296296296296,1,0.9333333333333333,0.5555555555555556,0.8296296296296296,0.4134375,0.6558371913580247,0.4375,2,3,3,3
grad-25,25180,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Quantitative non-experimental,PhD Student,10,10,50,40,0,0,3,30,50,20,0,0,Race / Ethnicity,Race / Ethnicity,Race / Ethnicity,Race / Ethnicity,0.04,0.22499999999999998,0.15000000000000002,0.32499999999999996,0.09500000000000001,0.27499999999999997,0.185,Race / Ethnicity,Sociology,NA,2016,NA,0,0,0,NA,NA,NA,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,25,50,25,0,15,50,25,10,0,3,20,2,5,5,0.6,1,0.6333333333333333,0.16666666666666666,4,4,5,4,0.21937500000000001,0.41386574074074073,0.8125,0.09500000000000001,0.34375,0.3597222222222222,0.7,0.18187499999999998,0.5,0.25666666666666665,0.5,0.274,0.375,0.5,1,0,0.15000000000000002,0.4125,0.9,1,0.5,0.5,1,0,0.04,0.27499999999999997,1,0.6,1,0.6333333333333333,0.16666666666666666,0.6,0.21937500000000001,0.41386574074074073,0.8125,4,4,5,4
grad-25,4504,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Quantitative non-experimental,PhD Student,57,7,16,49,21,7,21,6,24,44,24,2,International Relations,International Relations,International Relations,International Relations,0.185,0.48,0.5349999999999999,0.5125,0.36,0.49624999999999997,0.428125,International Relations,Political Science,2018,2018,2018,2,2,2,NA,NA,1,1,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2,19,54,19,6,10,19,44,23,4,4,50,4,16,4,0.8407407407407408,1,0.8,0.7222222222222222,4,3,4,3,0.4290625,0.5790740740740741,0.625,0.36,0.498125,0.6576388888888889,0.65,0.4295833333333333,0.625,0.6666666666666666,0.75,0.62,0.75,0.8,1,1,0.5349999999999999,0.51625,0.8,1,0.5,0.8,0,0.6666666666666666,0.185,0.48,1,0.8407407407407408,1,0.8,0.7222222222222222,0.8407407407407408,0.4290625,0.5790740740740741,0.625,4,3,4,3
grad-25,32532,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Quantitative non-experimental,PhD Student,20,0,10,20,35,35,10,0,15,30,30,25,Health / Medicine,Health / Medicine,Health / Medicine,Health / Medicine,0.060000000000000005,0.6625,0.15000000000000002,0.7375,0.10500000000000001,0.7,0.40249999999999997,Health / Medicine,Sociology,NA,NA,NA,0,0,0,NA,NA,NA,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,15,40,25,20,0,33,33,34,0,4,10,2,2,3,0.5111111111111111,1,0.5333333333333333,0,3,4,4,3,0.3684375,0.33165509259259257,0.625,0.10500000000000001,0.631875,0.47152777777777777,0.25,0.2734375,0.25,0.25,0.75,0.34,0.75,0.8,1,0,0.15000000000000002,0.68125,0.5,1,0,0.30000000000000004,1,0,0.060000000000000005,0.5825,1,0.5111111111111111,1,0.5333333333333333,0,0.5111111111111111,0.3684375,0.33165509259259257,0.625,3,4,4,3
faculty-75,13581,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Experimental,Published Author,60,0,0,25,50,25,30,0,10,50,30,10,American Politics,American Politics,American Politics,American Politics,0.25,0.6,0.5,0.75,0.375,0.675,0.525,American Politics,Political Science,2014,NA,NA,5,0,0,1,NA,NA,1,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0,10,20,50,20,0,25,50,20,5,5,40,4,20,4,0.7333333333333334,1,0.8666666666666667,0.3333333333333333,4,4,3,4,0.5078125,0.5088831018518518,0.6875,0.375,0.640625,0.7305555555555555,0.4,0.39609374999999997,0.375,0.4666666666666667,0.75,0.76,0.875,1,1,1,0.5,0.725,0.8,0,0,0.8,1,0,0.25,0.5562499999999999,1,0.7333333333333334,1,0.8666666666666667,0.3333333333333333,0.7333333333333334,0.5078125,0.5088831018518518,0.6875,4,4,3,4
grad-25,28303,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Quantitative non-experimental,PhD Student,58,2,3,13,45,37,14,12,20,30,28,10,Public Economics,Public Economics,Public Economics,Public Economics,0.10500000000000001,0.51,0.41,0.78,0.2575,0.645,0.45125000000000004,Public Economics,Economics,NA,NA,NA,0,0,0,NA,NA,NA,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,8,31,34,22,19,21,25,19,16,5,24,4,7,5,0.6444444444444445,1,0.9333333333333333,0,2,3,4,4,0.43125,0.46631944444444445,0.5625,0.2575,0.605,0.5783333333333334,0.5,0.320625,0.75,0.36333333333333334,0.5,0.672,0.625,1,1,0,0.41,0.7150000000000001,1,1,0,0.8,0,0,0.10500000000000001,0.495,1,0.6444444444444445,1,0.9333333333333333,0,0.6444444444444445,0.43125,0.46631944444444445,0.5625,2,3,4,4
grad-25,33375,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Quantitative non-experimental,PhD Student,88,5,10,0,30,55,24,25,25,0,20,30,American Politics,American Politics,American Politics,American Politics,0.22,0.5125,0.815,0.8,0.5175,0.65625,0.586875,American Politics,Political Science,2020,NA,NA,1,0,0,NA,NA,NA,1,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,15,0,40,40,5,23,23,35,14,4,75,4,20,5,0.8444444444444444,1,0.8666666666666667,0.6666666666666666,3,4,4,4,0.586875,0.6760706018518519,0.6875,0.5175,0.65625,0.8318055555555556,0.75,0.44640625,0.5,1,1,1,0.875,0.8,1,1,0.815,0.76875,1,1,0.5,0.8,1,0.5,0.22,0.54375,1,0.8444444444444444,1,0.8666666666666667,0.6666666666666666,0.8444444444444444,0.586875,0.6760706018518519,0.6875,3,4,4,4
