otree_var,var,question_nr,text,sub_item,resp_no,resp_label
epq.1.player.acc_replicates,reprod_acc,22,How confident are you that the influential research findings in the area of accounting overall are reproducible?,NA,1,Not at all confident
epq.1.player.acc_replicates,reprod_acc,22,How confident are you that the influential research findings in the area of accounting overall are reproducible?,NA,2,Slightly confident
epq.1.player.acc_replicates,reprod_acc,22,How confident are you that the influential research findings in the area of accounting overall are reproducible?,NA,3,Somewhat confident
epq.1.player.acc_replicates,reprod_acc,22,How confident are you that the influential research findings in the area of accounting overall are reproducible?,NA,4,Moderately confident
epq.1.player.acc_replicates,reprod_acc,22,How confident are you that the influential research findings in the area of accounting overall are reproducible?,NA,5,Extremely confident
epq.1.player.acc_sub_replicates,reprod_subfield,23,How confident are you that the influential research findings in your main subfield within accounting are reproducible?,NA,1,Not at all confident
epq.1.player.acc_sub_replicates,reprod_subfield,23,How confident are you that the influential research findings in your main subfield within accounting are reproducible?,NA,2,Slightly confident
epq.1.player.acc_sub_replicates,reprod_subfield,23,How confident are you that the influential research findings in your main subfield within accounting are reproducible?,NA,3,Somewhat confident
epq.1.player.acc_sub_replicates,reprod_subfield,23,How confident are you that the influential research findings in your main subfield within accounting are reproducible?,NA,4,Moderately confident
epq.1.player.acc_sub_replicates,reprod_subfield,23,How confident are you that the influential research findings in your main subfield within accounting are reproducible?,NA,5,Extremely confident
epq.1.player.res_meth_replicates,reprod_method,24,How confident are you that the influential research findings in your main methodological area are reproducible?,NA,1,Not at all confident
epq.1.player.res_meth_replicates,reprod_method,24,How confident are you that the influential research findings in your main methodological area are reproducible?,NA,2,Slightly confident
epq.1.player.res_meth_replicates,reprod_method,24,How confident are you that the influential research findings in your main methodological area are reproducible?,NA,3,Somewhat confident
epq.1.player.res_meth_replicates,reprod_method,24,How confident are you that the influential research findings in your main methodological area are reproducible?,NA,4,Moderately confident
epq.1.player.res_meth_replicates,reprod_method,24,How confident are you that the influential research findings in your main methodological area are reproducible?,NA,5,Extremely confident
epq.1.player.heard_prereg,prereg_familiar,25,How familiar are you with the practice of pre-registering hypotheses or analyses in advance of a study?,NA,1,Not at all familiar
epq.1.player.heard_prereg,prereg_familiar,25,How familiar are you with the practice of pre-registering hypotheses or analyses in advance of a study?,NA,2,Slightly familiar
epq.1.player.heard_prereg,prereg_familiar,25,How familiar are you with the practice of pre-registering hypotheses or analyses in advance of a study?,NA,3,Somewhat familiar
epq.1.player.heard_prereg,prereg_familiar,25,How familiar are you with the practice of pre-registering hypotheses or analyses in advance of a study?,NA,4,Moderately familiar
epq.1.player.heard_prereg,prereg_familiar,25,How familiar are you with the practice of pre-registering hypotheses or analyses in advance of a study?,NA,5,Extremely familiar
epq.1.player.have_prereg,prereg_use,26,Have you ever pre-registered hypotheses or analyses in advance of a study?,NA,1,No
epq.1.player.have_prereg,prereg_use,26,Have you ever pre-registered hypotheses or analyses in advance of a study?,NA,2,Yes
epq.1.player.first_time_prereg,prereg_use_first_time,27,Approximately when was the first time you pre-registered hypotheses or analyses in advance of a study?,NA,NA,NA
epq.1.player.trust_prereg,prereg_trust,28,How trustworthy do you find the work of scholars who tend to pre-register hypotheses or analyses as compared to the work of those who don't?,NA,1,Much less trustworthy
epq.1.player.trust_prereg,prereg_trust,28,How trustworthy do you find the work of scholars who tend to pre-register hypotheses or analyses as compared to the work of those who don't?,NA,2,Somewhat less trustworthy
epq.1.player.trust_prereg,prereg_trust,28,How trustworthy do you find the work of scholars who tend to pre-register hypotheses or analyses as compared to the work of those who don't?,NA,3,Equally trustworthy
epq.1.player.trust_prereg,prereg_trust,28,How trustworthy do you find the work of scholars who tend to pre-register hypotheses or analyses as compared to the work of those who don't?,NA,4,Somewhat more trustworthy
epq.1.player.trust_prereg,prereg_trust,28,How trustworthy do you find the work of scholars who tend to pre-register hypotheses or analyses as compared to the work of those who don't?,NA,5,Much more trustworthy
