id,methodarea,researcharea
100,"{""1"",""2"",""5""}","{""5"",""9""}"
101,"{""2""}","{""4""}"
102,"{""1""}","{""1""}"
103,"{""1"",""4""}","{""2""}"
104,"{""1"",""2"",""3""}","{""1""}"
105,"{""2"",""4""}","{""1"",""2"",""4""}"
106,"{""4""}","{""2"",""7""}"
107,"{""2"",""5""}","{""1"",""2"",""4""}"
108,"{""1"",""2"",""3""}","{""2""}"
109,"{""1"",""4""}","{""2"",""10""}"
110,"{""1"",""2"",""4""}","{""1"",""2"",""4"",""7""}"
111,"{""2""}","{""1"",""2"",""4""}"
112,"{""2""}","{""1"",""4"",""5""}"
113,"{""1"",""2""}","{""1"",""3"",""4""}"
114,{},NULL
115,"{""1""}","{""1"",""3""}"
116,"{""1""}","{""4""}"
117,"{""1"",""2""}","{""2"",""4""}"
118,"{""1""}","{""2"",""7""}"
119,"{""1"",""2""}","{""1""}"
120,"{""1""}","{""1""}"
121,{},{}
122,"{""4""}","{""2""}"
123,"{""2""}","{""2""}"
124,"{""1""}","{""1"",""4""}"
125,"{""1"",""2"",""4""}","{""1"",""2"",""7""}"
126,"{""1""}","{""1""}"
127,"{""1"",""3""}","{""1""}"
128,"{""1""}","{""1"",""3""}"
129,"{""1"",""4""}","{""5"",""10""}"
130,"{""1""}","{""3""}"
131,"{""1""}","{""3""}"
132,"{""2""}","{""3""}"
133,"{""1""}","{""1"",""10""}"
134,"{""1""}","{""1""}"
135,"{""1"",""2"",""3""}","{""1""}"
136,"{""1"",""3""}","{""1"",""4""}"
137,"{""2""}","{""2"",""4""}"
138,"{""1"",""3""}","{""1"",""2""}"
139,"{""1""}","{""1""}"
140,"{""1""}","{""1"",""2""}"
141,"{""1""}","{""1"",""2""}"
142,"{""3""}",NULL
143,"{""1""}","{""1"",""3""}"
144,"{""1""}","{""1""}"
145,"{""2"",""4""}","{""2"",""4"",""5""}"
146,"{""2""}","{""2""}"
147,"{""1""}","{""1"",""3"",""4""}"
148,"{""1""}","{""1""}"
149,"{""1""}","{""1"",""3""}"
150,"{""1""}","{""1"",""2""}"
151,"{""2"",""4"",""5""}","{""4"",""5"",""7"",""9""}"
152,"{""1""}","{""1""}"
153,"{""2""}","{""1"",""4""}"
154,"{""1"",""5""}","{""1"",""4""}"
155,"{""1"",""2"",""5""}","{""4"",""5""}"
156,"{""1""}","{""1"",""2"",""3"",""4""}"
157,"{""2""}","{""1"",""4""}"
158,"{""1"",""2"",""5""}","{""1"",""4""}"
159,"{""1""}","{""1"",""3""}"
160,"{""1""}","{""1"",""3"",""4"",""10""}"
161,"{""1""}","{""1""}"
162,"{""3""}","{""1""}"
163,"{""1""}","{""1"",""4"",""7""}"
164,"{""1"",""3""}","{""1"",""2"",""4""}"
165,"{""1""}","{""1"",""2""}"
166,"{""1""}","{""1"",""4""}"
167,"{""2""}","{""1"",""4""}"
168,"{""1""}","{""1""}"
169,"{""2"",""4""}","{""4""}"
170,"{""1""}","{""1"",""9""}"
171,"{""1""}","{""1""}"
172,"{""1""}","{""3""}"
173,"{""1""}","{""1""}"
174,"{""1"",""4"",""5""}","{""1"",""2"",""7"",""10""}"
175,"{""1""}","{""1"",""4""}"
176,"{""1"",""2""}","{""4""}"
177,"{""1""}","{""1""}"
178,"{""1""}","{""1"",""2""}"
179,"{""1""}","{""1"",""4""}"
180,"{""1"",""4""}","{""3"",""4"",""7"",""10""}"
181,"{""1""}","{""4""}"
182,"{""2""}","{""3""}"
183,"{""1""}","{""1""}"
184,"{""1""}","{""1"",""4""}"
185,"{""3""}","{""1"",""2"",""4""}"
186,"{""1""}","{""1""}"
187,"{""1""}","{""1"",""4""}"
188,"{""1""}","{""1"",""4""}"
189,"{""1"",""2"",""4""}","{""1"",""2"",""4""}"
190,"{""1""}","{""1""}"
191,"{""1"",""2""}","{""4"",""5""}"
192,"{""1""}","{""1""}"
193,"{""1""}","{""1"",""3"",""4"",""10""}"
194,"{""2""}","{""2"",""4""}"
195,"{""1""}","{""1"",""3"",""4""}"
196,"{""4""}","{""2"",""4""}"
197,"{""2""}","{""4""}"
198,"{""1""}","{""1"",""3""}"
199,"{""1""}","{""1""}"
200,"{""1"",""5""}","{""1""}"
201,"{""1"",""2"",""4""}","{""4""}"
202,"{""1"",""3""}","{""1""}"
203,"{""1"",""2"",""3""}","{""1"",""4""}"
204,"{""3""}","{""5""}"
205,"{""1""}","{""1"",""4""}"
206,"{""1"",""2"",""4"",""5""}","{""4"",""9""}"
207,"{""4""}","{""4""}"
208,"{""1""}","{""1"",""3""}"
209,"{""1""}","{""1"",""4""}"
210,"{""1"",""4""}","{""4""}"
211,"{""1""}","{""1"",""4""}"
212,"{""1""}","{""1"",""3""}"
213,"{""1""}","{""1"",""2"",""4"",""7""}"
214,"{""1""}","{""1"",""4""}"
215,"{""1"",""3""}","{""1"",""2""}"
216,"{""2""}","{""4"",""9""}"
217,"{""3""}","{""1"",""2""}"
218,"{""2"",""3""}","{""1"",""2"",""4"",""7"",""10""}"
219,"{""2"",""4""}","{""4""}"
220,"{""2""}","{""4""}"
221,"{""1"",""2""}","{""2"",""4"",""5""}"
222,"{""2""}","{""2""}"
223,"{""1""}","{""1""}"
224,"{""1""}","{""4""}"
225,"{""1""}","{""1"",""3"",""4""}"
226,"{""1""}","{""1"",""3"",""4""}"
227,"{""3""}","{""1"",""4"",""5""}"
228,"{""2""}","{""2"",""10""}"
229,"{""1""}","{""1""}"
230,"{""1""}","{""1""}"
231,"{""1""}","{""1""}"
232,"{""1"",""2""}","{""2"",""9""}"
233,"{""1"",""3""}","{""1"",""2"",""4""}"
234,"{""1""}","{""1"",""2"",""4""}"
235,"{""1"",""2""}","{""1"",""2"",""4""}"
236,"{""3""}","{""1"",""2""}"
237,"{""1"",""2""}","{""4"",""5""}"
238,"{""1""}","{""1"",""2"",""4""}"
239,"{""1""}","{""1"",""4""}"
240,"{""1""}","{""1"",""4""}"
241,"{""2"",""4""}","{""2"",""4"",""7""}"
242,"{""1""}","{""1"",""4""}"
243,"{""1""}","{""1"",""4"",""5""}"
244,"{""1""}","{""1"",""3"",""4""}"
245,"{""1""}","{""1"",""3"",""4""}"
246,"{""3""}","{""1""}"
247,"{""1""}","{""3""}"
248,"{""1""}","{""1"",""2"",""3""}"
249,"{""1""}","{""1"",""4""}"
250,"{""2""}","{""1"",""2""}"
251,"{""1""}","{""4""}"
252,"{""1""}","{""1"",""3""}"
253,"{""1""}","{""1"",""2""}"
254,"{""2""}","{""2""}"
255,"{""1"",""2"",""3""}","{""1"",""7""}"
256,"{""4""}","{""7""}"
257,"{""1""}","{""1"",""4""}"
258,"{""1""}","{""1"",""2"",""4"",""5"",""7"",""10""}"
259,"{""1"",""2"",""5""}","{""4"",""9""}"
260,"{""1""}","{""1"",""4""}"
261,"{""1"",""3"",""4""}","{""2""}"
262,"{""1""}","{""1"",""2""}"
263,"{""1""}","{""1""}"
264,"{""2""}","{""1""}"
265,"{""2"",""4""}","{""2"",""7"",""10""}"
266,"{""1"",""4""}","{""2"",""7""}"
267,"{""1""}","{""1""}"
268,"{""2""}","{""2""}"
269,"{""1"",""3""}","{""1"",""2"",""3"",""4""}"
270,"{""1""}","{""1"",""3"",""4""}"
271,"{""1"",""5""}","{""1"",""9""}"
272,"{""2"",""4""}","{""1"",""4""}"
273,"{""1"",""5""}","{""3""}"
274,"{""4""}","{""2""}"
275,"{""2"",""5""}","{""2"",""9""}"
276,"{""1""}","{""1""}"
277,"{""2""}",NULL
278,"{""1""}","{""1""}"
279,"{""1""}","{""1"",""2""}"
280,"{""1""}","{""1""}"
281,"{""1""}","{""1"",""4""}"
282,"{""1""}","{""1"",""10""}"
283,"{""1""}","{""4"",""7""}"
284,"{""1""}","{""1"",""4"",""5"",""7"",""9""}"
285,"{""2""}","{""1"",""2"",""4""}"
286,"{""1""}","{""1""}"
287,"{""1"",""2""}","{""2""}"
288,"{""1""}","{""1"",""3""}"
289,"{""2""}","{""1"",""4""}"
290,"{""1""}","{""1"",""2""}"
291,"{""1""}","{""1""}"
292,{},{}
293,"{""1"",""2""}","{""3"",""4"",""5""}"
294,"{""2""}","{""1""}"
295,"{""1"",""2"",""5""}","{""3""}"
296,"{""1""}","{""1"",""4""}"
297,"{""1""}","{""1"",""3""}"
298,"{""2"",""4""}","{""4""}"
299,"{""1""}","{""1""}"
300,"{""1""}","{""1"",""2"",""4""}"
301,"{""1"",""4""}","{""1"",""7"",""10""}"
302,"{""2"",""4""}","{""1"",""2"",""4""}"
303,"{""2""}","{""1"",""4""}"
304,"{""1"",""2""}","{""1"",""4""}"
305,"{""1""}","{""1"",""4""}"
306,"{""2""}","{""1"",""4"",""7"",""9""}"
307,"{""1"",""2""}","{""4""}"
308,"{""1"",""2"",""3"",""4""}","{""1"",""4"",""7""}"
309,"{""1""}","{""1"",""3"",""10""}"
310,"{""1"",""5""}","{""1"",""4"",""9""}"
311,"{""2"",""5""}","{""5"",""9""}"
312,"{""1""}","{""1""}"
313,"{""1""}","{""1"",""2"",""3"",""4"",""5"",""10""}"
314,"{""1"",""2""}","{""4""}"
315,"{""1""}","{""1"",""3""}"
316,"{""3""}","{""1""}"
317,"{""1""}","{""1"",""2"",""3""}"
318,"{""1""}","{""4"",""7""}"
319,"{""1""}","{""3"",""4"",""9""}"
320,"{""1"",""3""}","{""1"",""3"",""4""}"
321,"{""1"",""3""}","{""1"",""3"",""10""}"
322,"{""1""}","{""1"",""4"",""5""}"
323,"{""1"",""3""}","{""1"",""4"",""10""}"
324,"{""3""}","{""2""}"
325,"{""1""}","{""1"",""4"",""9""}"
326,"{""2"",""5""}","{""4"",""5"",""9""}"
327,"{""1""}","{""1"",""3"",""4""}"
328,"{""1"",""2""}","{""1"",""2""}"
329,"{""1"",""5""}","{""5"",""9""}"
330,"{""1""}","{""1"",""4""}"
331,"{""1""}","{""1"",""4""}"
332,"{""1"",""2""}","{""1"",""2"",""10""}"
333,"{""1""}","{""1"",""3"",""4""}"
334,"{""1"",""3""}","{""1""}"
335,"{""1"",""2"",""4""}","{""4""}"
336,"{""1"",""2"",""3""}","{""1"",""3"",""4""}"
337,"{""1""}","{""1""}"
338,"{""1"",""2"",""3"",""4"",""5""}","{""1"",""2"",""3"",""4"",""5"",""7"",""9"",""10""}"
339,"{""1"",""3""}","{""1"",""7"",""10""}"
340,"{""1""}","{""1""}"
341,"{""4""}","{""3""}"
342,"{""2"",""4""}","{""2""}"
343,"{""1"",""2""}","{""1"",""2"",""3"",""4"",""10""}"
344,"{""1""}","{""1""}"
345,"{""1""}","{""1"",""3"",""4""}"
346,"{""1"",""4""}","{""1"",""7""}"
347,"{""1""}","{""1""}"
348,"{""1""}","{""1"",""4"",""5""}"
349,"{""2""}","{""1"",""2"",""4""}"
350,"{""2""}","{""3"",""4""}"
351,"{""1"",""4""}","{""1"",""3""}"
352,"{""1""}","{""1"",""3"",""4""}"
353,"{""1"",""4""}","{""1"",""4"",""7""}"
354,"{""1""}","{""1"",""4""}"
355,"{""1"",""4""}","{""1"",""4""}"
356,"{""2"",""4""}","{""2"",""5""}"
357,"{""1"",""3""}","{""1"",""2"",""4""}"
358,"{""1""}","{""3""}"
359,"{""2""}","{""2"",""4"",""7""}"
360,"{""1""}","{""1""}"
361,"{""1"",""2""}","{""1""}"
362,"{""1""}",NULL
363,"{""1""}","{""4""}"
364,"{""1"",""2"",""5""}","{""4"",""9""}"
365,"{""1""}","{""1"",""4""}"
366,"{""3""}","{""2""}"
367,"{""2"",""4""}","{""2""}"
368,"{""2""}","{""2""}"
369,"{""1""}","{""1"",""9""}"
370,"{""1""}","{""1"",""2"",""4""}"
371,"{""4""}","{""2"",""7""}"
372,{},"{""1"",""4"",""7""}"
373,"{""1"",""3"",""5""}","{""1"",""2"",""4"",""5"",""9""}"
374,"{""1""}","{""1""}"
375,"{""1""}","{""1""}"
376,"{""4""}","{""2""}"
377,"{""1""}","{""1"",""4"",""7""}"
378,"{""1""}","{""1""}"
379,"{""1"",""2""}","{""4""}"
380,"{""1"",""2""}","{""1"",""2""}"
381,"{""1"",""2""}","{""1"",""4"",""9""}"
382,"{""2"",""4""}","{""4"",""5""}"
383,"{""1"",""2"",""5""}","{""3"",""7"",""9""}"
384,"{""2""}","{""2""}"
385,"{""2""}","{""2""}"
386,"{""1""}","{""1""}"
387,"{""3""}","{""1"",""2"",""4""}"
388,"{""1""}","{""1"",""4""}"
389,"{""1"",""2""}","{""2"",""4""}"
390,"{""1""}","{""1"",""3""}"
391,"{""1""}","{""3""}"
392,"{""1""}","{""1""}"
393,"{""1"",""5""}","{""1"",""3"",""4"",""5""}"
394,"{""1""}","{""1"",""3"",""4""}"
395,"{""2""}","{""2"",""4"",""9""}"
396,"{""1""}","{""1"",""2""}"
397,"{""1""}","{""1"",""2"",""4""}"
398,"{""1""}","{""1"",""4""}"
399,"{""1""}","{""1"",""4"",""5""}"
400,"{""2""}","{""2""}"
401,"{""2"",""4""}","{""4""}"
402,"{""1""}","{""1""}"
403,"{""2""}","{""1""}"
404,"{""1""}","{""1"",""2"",""3"",""4""}"
405,"{""1""}","{""1"",""3""}"
406,"{""2"",""4""}","{""1"",""4""}"
407,"{""1"",""2"",""4""}","{""4"",""7"",""9""}"
408,"{""1""}","{""1"",""3"",""4""}"
409,"{""1""}","{""3""}"
410,"{""1""}","{""1"",""3""}"
411,"{""1""}","{""1"",""3"",""4""}"
412,"{""1""}","{""1""}"
413,"{""1"",""2"",""4""}","{""2""}"
414,"{""1""}","{""1"",""3""}"
415,"{""1""}","{""1"",""3"",""4""}"
416,"{""2""}","{""1"",""2"",""4""}"
417,"{""1""}","{""1"",""4"",""5"",""7"",""10""}"
418,"{""1""}","{""1""}"
419,"{""1""}","{""1""}"
420,"{""1"",""2"",""4""}","{""4""}"
421,"{""2""}","{""4""}"
422,"{""2"",""4"",""5""}","{""2"",""4"",""5"",""7"",""9""}"
423,"{""3""}","{""4""}"
424,"{""2"",""4""}","{""4""}"
425,"{""1""}","{""1"",""3""}"
426,"{""1""}","{""1"",""3""}"
427,"{""1"",""2""}","{""4""}"
428,"{""1""}","{""1"",""2"",""4""}"
429,"{""2""}","{""3"",""7"",""10""}"
430,"{""1""}","{""1""}"
431,"{""1""}","{""1""}"
432,"{""1""}","{""1"",""3""}"
433,"{""1"",""4""}","{""1"",""9""}"
434,"{""3""}","{""1"",""2"",""4"",""10""}"
435,"{""1""}","{""1""}"
436,"{""1""}","{""1"",""4""}"
437,"{""3""}","{""2""}"
438,"{""1""}","{""1""}"
439,"{""1""}","{""1"",""9""}"
440,"{""2"",""4"",""5""}","{""2"",""3"",""4"",""7"",""9"",""10""}"
441,"{""2""}","{""2"",""5""}"
442,"{""1""}","{""3""}"
443,"{""1""}","{""1"",""2"",""3"",""4""}"
444,"{""4""}","{""2""}"
445,"{""1""}","{""1"",""3"",""4""}"
446,"{""2""}","{""1"",""2""}"
447,"{""1"",""2"",""5""}","{""2"",""4"",""7""}"
448,"{""1""}","{""1""}"
449,"{""1""}","{""1""}"
450,"{""1""}","{""4""}"
451,"{""1"",""2""}","{""2""}"
452,"{""4""}","{""3""}"
453,"{""1""}","{""1""}"
454,"{""2""}","{""4""}"
455,"{""1"",""2""}","{""3""}"
456,"{""3""}","{""1"",""2"",""4""}"
457,"{""1""}","{""1"",""4""}"
458,"{""2"",""5""}","{""1"",""4"",""9""}"
459,"{""2""}","{""1"",""4"",""5""}"
460,"{""1"",""2"",""4""}","{""2""}"
461,"{""1""}","{""4""}"
462,"{""1""}","{""4""}"
463,"{""1""}","{""1"",""2"",""3""}"
464,"{""3""}","{""1"",""2"",""4""}"
465,"{""1"",""2"",""5""}","{""4"",""5"",""7"",""9""}"
466,"{""1""}","{""1""}"
467,"{""1""}","{""1"",""2""}"
468,"{""1""}","{""1""}"
469,"{""1""}","{""2""}"
470,"{""1""}","{""1"",""2"",""3"",""4"",""5""}"
471,"{""1""}","{""1""}"
472,"{""1""}","{""1""}"
473,"{""1""}","{""1"",""4"",""10""}"
474,"{""1""}","{""1"",""4""}"
475,"{""1""}","{""1""}"
476,"{""1"",""2"",""5""}","{""4""}"
477,"{""1""}","{""1"",""7""}"
478,"{""2"",""4""}","{""1"",""2"",""4"",""5""}"
479,"{""1""}","{""1""}"
480,"{""2""}","{""2""}"
481,"{""1"",""2"",""4""}","{""4""}"
482,"{""1""}","{""2""}"
483,"{""2"",""4""}","{""3"",""4""}"
484,"{""1""}","{""1"",""2"",""5""}"
485,"{""1""}","{""1"",""2"",""3"",""4"",""7"",""10""}"
486,"{""2""}","{""4""}"
487,"{""1"",""3""}","{""1"",""4""}"
488,"{""2""}","{""1"",""2"",""4""}"
489,"{""2""}","{""1"",""4""}"
490,"{""1"",""2""}","{""4""}"
491,"{""1""}","{""1"",""3""}"
492,"{""1""}","{""1"",""2"",""3"",""7"",""10""}"
493,"{""1""}","{""1""}"
494,"{""1"",""2""}","{""2"",""4""}"
495,"{""1""}","{""1"",""4""}"
496,"{""1""}","{""1"",""3""}"
497,"{""1"",""4"",""5""}","{""1"",""4"",""9""}"
498,"{""1""}","{""1""}"
499,"{""1""}","{""1""}"
500,"{""2"",""3""}","{""1"",""4"",""5""}"
501,"{""1"",""2"",""4""}","{""2"",""4"",""5"",""7"",""10""}"
502,"{""1""}","{""1""}"
503,"{""2""}","{""1""}"
504,"{""2"",""4"",""5""}","{""4"",""9""}"
505,"{""1""}","{""1"",""4""}"
506,"{""1""}","{""1"",""3""}"
507,"{""1""}","{""1"",""7""}"
508,"{""2"",""4""}","{""1"",""4""}"
509,"{""1""}","{""1""}"
510,"{""3""}","{""1"",""2""}"
511,"{""1""}","{""1""}"
512,"{""1"",""2"",""4"",""5""}","{""4""}"
513,"{""1""}","{""1"",""3"",""4""}"
514,"{""1""}","{""1"",""10""}"
515,"{""1""}","{""1"",""2"",""4""}"
516,"{""4""}","{""2""}"
517,"{""1""}","{""1"",""2"",""4"",""5""}"
518,"{""1""}","{""1""}"
519,"{""2""}","{""2""}"
520,"{""1""}","{""1""}"
521,"{""1""}","{""1"",""3""}"
522,"{""2""}","{""1"",""4""}"
523,"{""2""}","{""2""}"
524,"{""1""}","{""1"",""4""}"
525,"{""1""}","{""1""}"
526,"{""1""}","{""1""}"
527,"{""2"",""5""}","{""1"",""2"",""3"",""4"",""5"",""9""}"
528,"{""2""}","{""1"",""2""}"
529,"{""1""}","{""1"",""5"",""10""}"
530,"{""1""}","{""3""}"
531,"{""1""}","{""1""}"
532,"{""2"",""4""}","{""5""}"
533,"{""1""}","{""1""}"
534,"{""1""}","{""1""}"
535,"{""1""}","{""1"",""3"",""4"",""5""}"
536,"{""1""}","{""1"",""2"",""4""}"
537,"{""1"",""3""}","{""4""}"
538,"{""1""}","{""1"",""2""}"
539,"{""2""}","{""1"",""2"",""4""}"
540,"{""1""}","{""1"",""3""}"
541,"{""1"",""5""}","{""1"",""5"",""9""}"
542,"{""1""}","{""1"",""7""}"
543,"{""1""}","{""1""}"
544,"{""1""}","{""1"",""3"",""4"",""9""}"
545,"{""1"",""3""}","{""1"",""2"",""7"",""10""}"
546,"{""1""}","{""1"",""4"",""9""}"
547,"{""1"",""3"",""4"",""5""}","{""1"",""2"",""3"",""4""}"
548,"{""1""}","{""1"",""4"",""9""}"
549,"{""2""}","{""2""}"
550,"{""4"",""5""}","{""2"",""9""}"
551,"{""1""}","{""3"",""9""}"
552,"{""3""}","{""1"",""2"",""3""}"
553,"{""1""}","{""1""}"
554,"{""2""}","{""4""}"
555,"{""1""}","{""1"",""4""}"
556,"{""3""}","{""1"",""2"",""3"",""4""}"
557,"{""4""}","{""2""}"
558,"{""1""}","{""1"",""3""}"
559,"{""1""}","{""1""}"
560,"{""1""}","{""1""}"
561,"{""1""}","{""1"",""4""}"
562,"{""2""}",NULL
563,"{""2""}","{""4""}"
564,"{""1""}","{""1"",""10""}"
565,"{""1""}","{""1""}"
566,"{""1"",""5""}","{""1"",""9""}"
567,"{""1"",""4""}","{""4""}"
568,"{""1""}","{""1""}"
569,"{""1""}","{""1"",""2""}"
570,"{""2"",""4""}","{""2"",""3"",""7"",""10""}"
571,"{""2"",""4""}","{""5""}"
572,"{""1""}","{""3""}"
573,"{""1""}","{""1"",""2"",""7""}"
574,"{""1""}","{""1"",""7""}"
575,"{""1"",""2""}","{""2""}"
576,"{""2""}","{""1"",""4"",""7"",""9""}"
577,"{""2"",""4""}","{""4""}"
578,"{""1""}","{""1"",""2"",""4"",""5""}"
579,"{""1""}","{""1""}"
580,"{""1""}","{""1""}"
581,"{""1""}","{""1"",""3"",""4""}"
582,"{""1"",""2""}","{""1""}"
583,"{""2""}","{""4""}"
584,"{""1""}","{""1"",""3""}"
585,"{""1"",""3""}","{""1"",""2"",""7""}"
586,"{""1""}","{""1""}"
587,"{""1""}","{""1""}"
588,"{""2""}","{""2""}"
589,"{""4""}","{""4"",""9"",""10""}"
590,"{""1"",""4""}","{""1"",""2"",""4"",""7""}"
591,"{""1""}","{""4"",""1"",""2""}"
592,"{""1"",""3""}","{""1""}"
593,"{""1""}","{""1""}"
594,"{""1""}","{""1"",""4"",""5""}"
595,"{""1"",""3""}","{""1"",""2"",""7""}"
596,"{""2"",""4""}","{""4""}"
597,"{""1""}","{""4"",""7""}"
598,"{""1"",""2""}","{""1"",""2""}"
599,"{""1""}","{""1""}"
600,"{""2""}","{""1"",""4"",""7""}"
601,"{""1""}","{""1"",""2"",""7""}"
602,"{""2""}","{""2""}"
603,"{""2""}","{""1""}"
604,"{""1""}","{""1"",""7""}"
605,"{""1""}","{""1""}"
606,"{""1""}","{""1""}"
607,"{""1"",""2"",""4""}","{""4""}"
608,"{""4""}","{""1"",""4""}"
609,"{""1"",""2""}","{""1"",""4""}"
610,"{""1"",""2""}","{""3""}"
611,"{""1"",""3""}","{""1"",""2""}"
612,"{""1""}","{""1""}"
613,"{""1""}","{""1"",""4"",""5""}"
614,"{""1""}","{""1"",""2"",""3""}"
615,"{""2""}","{""1"",""4""}"
616,"{""2""}","{""2""}"
617,"{""1""}","{""3"",""4""}"
618,"{""1"",""3""}","{""1""}"
619,"{""1"",""4""}","{""2"",""3""}"
620,"{""1""}","{""1"",""3""}"
621,{},{}
622,"{""1"",""2""}","{""4""}"
623,"{""1"",""2""}","{""4""}"
624,"{""1""}","{""1"",""3"",""4""}"
625,"{""1"",""2"",""3""}","{""4"",""5""}"
626,"{""1""}","{""1"",""2"",""3""}"
627,"{""1""}","{""1"",""3""}"
628,"{""1""}","{""1""}"
629,"{""2"",""3""}","{""1""}"
630,"{""1"",""2""}","{""1"",""4""}"
631,"{""1""}","{""1"",""2"",""4"",""5""}"
632,"{""2""}","{""2""}"
633,"{""1""}","{""1"",""4""}"
634,"{""1""}","{""1"",""4"",""7""}"
635,"{""1""}","{""1"",""3""}"
636,"{""1""}","{""1"",""4""}"
637,"{""1""}","{""1""}"
638,"{""1""}","{""1"",""4""}"
639,"{""4""}","{""2""}"
640,"{""1""}","{""1"",""3""}"
641,"{""1""}","{""1"",""4""}"
642,"{""1""}","{""1""}"
643,"{""1""}","{""1"",""2"",""9""}"
644,"{""1"",""4""}","{""1"",""2"",""5""}"
645,"{""1""}","{""1"",""3"",""4"",""5"",""7""}"
646,"{""1""}","{""1""}"
647,"{""1""}","{""1"",""3""}"
648,"{""1"",""2""}","{""2""}"
